parroquia,z_ebp,ee,cv
50162,483.45,32.6529865367366,0.06754160003461909
50250,470.14,20.38123697194249,0.04335142079368377
50251,428.22,83.46187014379638,0.19490418510064073
50252,430.2,79.32040873896086,0.1843803085517454
50350,342.33,43.14268204220626,0.12602658850292484
50351,374.94,64.46577021501768,0.17193623037023972
50352,247.68,47.575305697567465,0.19208376008384798
50353,248.39,46.967381415283796,0.1890872475352623
50450,623.87,34.05151735700863,0.05458111041885109
50451,376.51,75.3322607135931,0.20008037160657913
50453,326.04,54.51425349677794,0.1672011210182123
50455,596.91,101.59469166649357,0.17020102137088267
50456,312.12,44.72599957962531,0.143297448351997
50457,423.64,78.58511034226198,0.18549974115348405
50458,381.86,58.27310314886931,0.15260331835978974
50550,604.14,31.052811220901894,0.05140002519432896
50551,638.86,112.74808818081542,0.1764832485690377
50552,396.72,33.44755047126429,0.08431021998201324
50553,501.75,65.00966125799533,0.12956584206875005
50554,388.6,43.60256424131372,0.11220423119226382
50555,548.23,98.67544267700481,0.1799891335333798
50650,466.37,55.32450279159151,0.1186279194450576
50651,501.53,51.63488190700196,0.1029547223635714
50652,450.51,78.48415670724074,0.17421179709049908
50653,326.19,30.571003627855035,0.09372146181015677
50750,396.79,65.07520519764336,0.16400414626790835
50751,247.51,52.194680127830516,0.2108790761093714
50752,315.44,42.60099140911263,0.13505259767027844
50753,349.69,46.16280551714095,0.1320106537708855
50754,392.52,78.48391418100897,0.19994882854633897
60150,773.46,19.1318897469435,0.024735461105866496
60151,309.01,55.8090070783429,0.1806058285438753
60152,463.36,83.15392463544497,0.1794585735398933
60153,508.48,70.31958315266318,0.13829370506738353
60154,391.43,72.34334919618281,0.18481810080009917
60155,451.86,50.89706143788288,0.11263900641323171
60156,305.55,26.457240515062065,0.0865889069385111
60157,304.82,50.17636324074166,0.16460981313805412
60158,307.82,30.952797165428,0.10055486052052498
60159,329.18,41.20281197019469,0.1251680295588878
60160,395.33,32.78039535641158,0.08291906851595271
60161,382.67,50.337572539696886,0.13154303326546865
60250,568.05,54.61525837768519,0.09614516042194383
60251,323.1,45.707516813363526,0.14146554259784438
60253,472.87,87.75473719890446,0.18557899041788328
60254,387.38,73.90669807831556,0.19078604491278733
60255,298.22,52.706291743869556,0.17673627437418535
60256,459.82,99.30212325929783,0.21595868657147976
60257,377.97,84.65967759156716,0.22398517763729173
60258,523.47,97.32913997547375,0.18593069321159522
60259,402.34,66.8842119933246,0.16623803746414625
60260,289.31,50.64495452550837,0.17505428269160545
60350,505.5,36.423751494123145,0.07205489909816645
60351,310.86,63.55731994888967,0.20445641108180423
60352,507.14,34.40695861594088,0.0678450893558798
60353,283.51,50.624790248316756,0.17856439013903128
60354,364.77,51.86371732380341,0.1421819703478998
60450,530.95,30.73146209727521,0.05788014332286506
60550,445.85,47.649263283440774,0.10687285697755024
60551,265.35,51.25329563045799,0.193153554288517
60552,318.68,58.89769699173566,0.18481767601272642
60553,288.06,58.28119776512934,0.2023231193679419
60554,393.97,69.31762977575441,0.17594646743598347
60650,375.5,19.23182407394039,0.05121657542993446
60651,267.0,25.550709802756355,0.09569554233242081
60652,231.15,40.463457792994056,0.17505281329437186
60750,554.76,29.42882530062246,0.0530478500624098
60751,354.11,75.18713240040555,0.21232705204711966
60752,254.69,46.07688727759454,0.18091360979070453
60753,375.06,73.52121244917706,0.19602520249873903
60754,523.61,39.5248184795884,0.07548522465114951
60755,441.82,60.1935592321312,0.13624000550480106
60756,387.82,72.70834636059757,0.18747962034087354
60757,302.69,60.7187008283151,0.20059698314551225
60758,252.65,23.695403260928625,0.09378746590512023
60759,251.21,55.8953731456114,0.22250457046141237
60850,377.06,24.411944207052336,0.06474286375391804
60950,489.86,38.341970790699705,0.0782712832047926
60951,399.58,69.75098214798743,0.17456074415132747
60952,461.55,91.22971225052645,0.19765943505693087
60953,340.09,68.00235113359854,0.19995398610249798
60954,391.67,72.40914521705791,0.18487283993427608
60955,279.07,53.99976890775128,0.19349901067026654
60956,370.79,77.69437487116717,0.20953740627084647
61050,468.52,34.24098320358959,0.07308329036879876
70150,687.97,4.615941763411851,0.006709510245231407
70152,500.51,31.08632518277945,0.06210929888070059
70250,601.15,44.55895468666614,0.07412285567107402
70251,548.44,63.077574024094574,0.11501271611132406
70254,375.98,75.84306327027053,0.20172100449563948
70255,399.73,72.02223235492387,0.18017720049764557
70256,368.3,74.50998184716049,0.2023078518793388
70350,686.29,79.16752221247998,0.115355785764735
70351,402.11,52.12115744656478,0.12961915258651807
70352,456.3,50.4595087976884,0.11058406486453737
70353,451.18,83.16020011422945,0.18431712423917163
70354,589.29,119.67672603291729,0.2030863005191286
70355,505.62,98.01287782598143,0.19384691631260914
70450,476.35,45.26885426015151,0.09503275797239741
70451,465.17,43.24477073472856,0.09296551956215697
70550,482.91,50.9064032786092,0.10541592279847009
70650,543.97,23.321303508698353,0.042872407501697435
70651,527.64,39.357402655137626,0.07459139309972258
70652,455.66,31.809041853307086,0.06980872109315517
70653,411.37,78.28164825176796,0.19029498566197817
70654,438.91,75.70737116193405,0.17248951074692773
70750,577.34,18.755183057269083,0.032485507772316284
70850,473.77,44.91685928161522,0.09480731004836782
70851,397.42,84.10922262141594,0.2116381224432991
70950,609.91,18.936427518414998,0.031047904639069698
70951,465.8,59.99198534905361,0.1287934421405187
70952,510.9,43.242800891751244,0.0846404401874168
70953,472.61,48.405263521409445,0.10242115808258277
70954,283.71,47.42177627173135,0.1671487655413322
70955,307.28,40.29669779198102,0.13113999541779817
70956,428.66,78.35545416015862,0.18279161610637476
71050,693.01,38.95691554980616,0.05621407418335401
71051,396.51,69.7712498018353,0.1759634052150899
71052,525.68,70.08875387292044,0.13332969462966146
71053,396.02,58.22055621095726,0.14701418163465801
71054,425.72,76.15307297911006,0.17888065625084576
71055,477.99,55.15979164234057,0.11539946785987273
71056,468.33,58.25849916009592,0.12439625725470485
71150,639.67,36.262596294077966,0.05668953725214246
71151,527.04,91.4697450439609,0.17355370568450385
71152,425.62,78.9796791306886,0.18556383424342981
71153,378.59,47.54218530743376,0.1255769706210776
71250,707.47,23.09563674876211,0.03264539379586712
71251,528.76,95.43060136490611,0.1804799935034914
71252,436.74,31.57347216220258,0.07229352054357874
71253,539.1,107.90756196219945,0.20016242248599414
71254,497.23,72.14165768574037,0.14508709789381247
71255,512.7,48.485667371422174,0.0945692751539344
71256,509.39,50.4795011747171,0.09909794298026484
71257,448.7,89.79865947379552,0.200130732056598
71350,733.5,55.52692254786773,0.07570132590029684
71351,427.18,83.46528755960483,0.19538669310268467
71352,397.64,60.567362075721306,0.15231707593733354
71353,393.07,47.0388089170209,0.11967031042058895
71354,402.69,50.2722804605807,0.12484114445499193
71355,558.98,53.975862144909534,0.09656134771353095
71356,578.46,60.67997873406581,0.1048991783944712
71357,537.13,104.98504628751442,0.19545556250351762
71358,477.95,89.54774817134336,0.18735798341111698
71359,292.39,59.622256494185685,0.20391345974276032
71450,633.81,97.2965763589427,0.1535106362457877
71451,471.97,92.9590462261281,0.19695965045686822
71452,502.72,96.54285927979065,0.19204101543561156
71453,489.93,92.41622510120533,0.18863148837835064
80150,717.83,13.065436026119714,0.018201295607761885
80152,401.85,69.11774585200772,0.17199886985693097
80153,298.43,56.45809331354221,0.18918370577201424
80154,259.15,27.435073731788226,0.10586561347400435
80159,354.52,33.317705807061465,0.09397976364397345
80163,325.16,44.91781702487869,0.13814066005928985
80165,307.16,34.763342958414704,0.11317666023705789
80166,567.83,53.168650904719556,0.09363480426310612
80168,520.7,35.55518695871925,0.06828343952125839
80250,434.35,31.933301303691596,0.07351974514490986
80251,281.11,33.775816128883925,0.12015159947666011
80252,356.19,62.79193432043116,0.1762877518190605
80253,543.71,32.89142765065994,0.060494432051387576
80254,319.91,28.403188720768032,0.08878493551551384
80255,325.23,75.31080286257836,0.23156167285483611
80256,405.56,36.95296354214383,0.09111589787489847
80257,241.32,49.270190736769095,0.204169528993739
80258,270.26,39.12391736969833,0.1447639952997052
80259,306.77,24.503472293343325,0.07987571240128867
80260,391.48,50.37345583316462,0.12867440439655822
80261,314.54,32.4776592323273,0.10325446439984516
80262,335.85,33.94763079479553,0.10107974034478347
80263,393.0,56.27973732446653,0.14320543848464767
80264,343.71,47.524191507997266,0.13826828287799967
80265,358.56,61.14589553779308,0.17053183717590661
80350,521.76,30.244771316075877,0.05796682634942479
80351,365.22,64.46523034951782,0.17651067945215984
80352,391.58,47.91405652946849,0.12236083694128529
80353,307.96,52.24149569245434,0.16963727656986086
80354,404.74,62.08680720841533,0.15339923706185535
80355,406.78,79.81476139297241,0.19621112491511977
80356,335.63,29.722196689919443,0.08855643622417378
80357,340.99,27.323944009674793,0.08013121795265196
80358,436.36,82.07158891365681,0.18808229194622975
80450,539.56,12.145761595237198,0.022510492985464453
80451,234.88,39.9669949528306,0.1701592087569423
80452,361.45,33.15985493015235,0.09174119499281325
80453,384.2,13.5869703777462,0.035364316443899535
80454,380.37,32.485057003892415,0.08540383574911906
80455,410.63,21.563194696889806,0.05251246790758056
80550,635.29,22.150224514189187,0.03486632012811344
80551,341.95,35.59053231504958,0.1040811004972937
80552,277.2,39.82993310710545,0.14368662737051027
80553,423.07,80.03733013783511,0.18918223967153217
80554,453.2,55.033383686572684,0.12143288545139604
80555,479.97,118.8648600067262,0.24765060317671145
80556,434.93,49.33377042498372,0.11342921947206153
80557,344.09,62.16048635304643,0.18065182467681837
80558,355.11,69.57014940037588,0.19591154684569817
80559,407.23,80.36770888573467,0.19735213242083016
80560,238.23,44.98142187555538,0.188815102529301
80561,428.86,38.65175634480199,0.09012674612881123
